,fingerprint_index,SMILES,weight,selected,above_threshold_occurrence,norm_weight
408781366,0,[CH3],,False,True,
588941139,1,[CH2],,False,True,
1745124488,2,[CH],,False,True,
3241453017,3,[OH],,False,True,
2024190808,4,[CH2][CH2][CH2],0.9714002184491914,True,True,-0.6175316635362176
3585449278,5,[CH3][CH2][CH2][CH2],0.002168282241117613,True,True,0.033399993297742014
1761756884,6,[CH3][CH2][CH2],,False,True,
86881846,7,[CH2][CH2][CH],-0.7863239794577873,True,True,-0.5001719333768024
1764182346,8,[CH2][CH2][CH2][CH2][CH2],1.0696374810966718,True,True,-0.8677946183911995
633478272,9,[CH2][OH],,False,True,
2248068120,10,[CH2][CH2][CH]([OH])[CH2][OH],,False,True,
1194621179,11,[CH2][CH2][CH2][CH]([CH2])[OH],,False,True,
2756096705,12,[CH2][CH]([OH])[CH2][OH],-0.4898170926066879,True,True,-0.05493515722643094
1798560833,13,[CH][CH2][OH],-0.014702586320448463,True,True,-0.01965146585292743
2332023200,14,[CH][OH],-0.0014432179361064828,True,True,0.006646852089748023
2230853995,15,[CH3][CH2][CH2][CH2][CH2],,False,True,
99608249,16,[CH2][CH]([CH2])[OH],,False,True,
4127301570,17,[CH3][CH2],,False,True,
346836004,18,[CH2][CH2][CH2][CH2][CH],-0.030806566475869823,True,True,-0.009497258441137024
3289258337,19,[CH2][CH2][OH],0.3367789540802443,True,True,0.20642096242496422
4201881788,20,[O],,False,True,
3398511450,21,[CH2][CH2][O],,False,True,
3341742393,22,[CH2][CH2][CH2][CH2][O],,False,True,
2266582708,23,[CH2][O][CH2][CH2][OH],-0.6885358347745377,True,True,-0.3695071035601032
3833245231,24,[O][CH2][CH2][OH],-0.6885358347745377,True,True,-0.3695071035601032
860008211,25,[CH2][O][CH2][CH2][O],-0.01412048876766139,True,True,0.05376885163762424
621123397,26,[C],,False,True,
2352303636,27,[O],,False,True,
3571421935,28,[N],,False,True,
824217214,29,[C][N]([CH2])[CH2],,False,False,
531614757,30,[C][N]([CH2])[CH2][CH2][OH],,False,False,
268480129,31,[N][CH2][CH2][OH],,False,False,
2126038938,32,[CH2][CH2][C](=[O])[N]([CH2])[CH2],,False,False,
2841381149,33,[CH2][CH2][N]([CH2][CH2])[C]([CH2])=[O],,False,False,
